IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
121.140.9.141,27015,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,318,1.44
218.151.61.149,11184,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,438,1.34
125.142.232.222,30011,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,227,1.34
211.229.111.39,12354,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,345,1.26
111.65.134.21,30003,TRUE,ICN,KR,Asia Pacific,Seoul,17573,SK Broadband Co Ltd,319,1.23
121.158.231.203,10007,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,395,1.21
125.133.233.48,30046,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,283,1.18
121.149.79.191,12329,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,518,1.17
118.39.57.71,30059,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,404,1.07
211.248.216.119,10018,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,664,1.02
59.1.180.74,30055,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,441,0.96
175.125.207.253,12393,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,435,0.96
124.111.159.27,30054,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,353,0.94
175.125.207.253,38520,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,379,0.90
218.149.239.252,10205,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,449,0.89
175.125.207.253,18039,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,255,0.87
121.190.128.166,16036,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,682,0.79
218.159.32.2,30012,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,410,0.76
121.170.103.123,18044,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,588,0.71
220.87.237.210,12426,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,398,0.69
112.165.29.47,30050,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,332,0.69
64.110.71.56,2083,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,397,0.65
221.144.5.24,30012,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,600,0.61
59.187.242.236,21279,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,875,0.57
211.196.223.206,12309,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,335,0.54
210.222.133.55,32412,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,450,0.53
211.55.202.96,33890,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,384,0.48
203.229.224.162,10443,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,933,0.45
59.187.242.236,12293,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,999,0.42
175.125.147.164,12449,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,432,0.39
118.33.22.133,16053,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,606,0.37
211.55.202.96,12124,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,415,0.36
220.88.191.218,30025,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,343,0.36
59.187.242.236,12354,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,989,0.35
175.125.207.253,10043,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,511,0.33
125.133.233.48,30051,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,417,0.30
64.110.71.56,2053,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,889,0.30
59.187.242.236,32757,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,865,0.30
121.170.103.123,12543,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,834,0.29
59.187.242.236,38978,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,884,0.25
59.187.242.236,34568,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,848,0.25
59.187.242.236,28080,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,859,0.24
59.2.219.193,10017,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,396,0.22
125.133.233.48,30100,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,359,0.20
14.50.174.164,12458,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,418,0.18
175.125.207.253,21241,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,594,0.15
58.239.203.25,21299,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,309,0.09
59.187.242.236,18010,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,809,0.07
158.180.68.56,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,579,0.05
144.24.85.158,443,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,858,0.03
